Date,AAPL,JNJ,JPM,MSFT,SPY,TSLA,XOM
3/31/2020,-0.002040743,-0.014134329,-0.037112343,-0.015727521,-0.014905437,0.043554462,0.012533872
4/1/2020,-0.052616936,-0.01769238,-0.062978633,-0.03550793,-0.045004932,-0.080992391,-0.011588259
4/2/2020,0.01668656,0.033692994,0.037339783,0.020708442,0.023075685,-0.056254665,0.076472234
4/3/2020,-0.014371498,0.00766082,-0.029557916,-0.009210098,-0.014454358,0.056197347,-0.029455513
4/6/2020,0.087237558,0.041663476,0.064366489,0.074367791,0.067166352,0.075477575,0.032134694
4/7/2020,-0.011582172,-0.01631373,0.01319013,-0.010770448,0.001019411,0.056582237,0.019026788
4/8/2020,0.025594471,0.042042461,0.040379742,0.010030959,0.033568652,0.006214994,0.06328777
4/9/2020,0.007216125,-0.014170121,0.089713592,6.07E-05,0.015217036,0.044020157,-0.016419563
4/13/2020,0.019627845,-0.010337528,-0.044472433,0.002240537,-0.009130119,0.136038393,-0.008578835
4/14/2020,0.050503182,0.044787764,-0.027395983,0.049483438,0.029492954,0.090544573,-0.007717264
4/15/2020,-0.009127213,0.011161921,-0.049319454,-0.01047749,-0.021248147,0.028088878,-0.04595817
4/16/2020,0.007945358,0.013612421,-0.038109774,0.030020595,0.004824565,0.021073402,-0.032855787
4/17/2020,-0.013568618,0.01570136,0.089888796,0.008811667,0.027015395,0.011647724,0.10395911
4/20/2020,-0.020756711,-0.002302477,-0.036457116,-0.019820772,-0.017618177,-0.009988248,-0.047200405
4/21/2020,-0.030910339,-0.013120285,-0.029004626,-0.041357226,-0.030363615,-0.07990778,-0.005342139
4/22/2020,0.028803309,0.022113841,0.003256479,0.033965183,0.022195171,0.066096828,0.028564393
4/23/2020,-0.003875051,0.016471256,0.000559778,-0.012103004,-7.19E-05,-0.036169463,0.031331255
4/24/2020,0.028869524,-0.004179591,0.014766761,0.018259626,0.013938615,0.027663245,0.006444055
4/27/2020,0.000706649,-0.00368096,0.043104703,-0.002864576,0.014418637,0.101496222,0.004802557
4/28/2020,-0.01620909,-0.018795481,0.007080647,-0.024360576,-0.004598446,-0.037095477,0.023440956
4/29/2020,0.032845212,-0.007596483,0.02697035,0.044873554,0.026178744,0.040812877,0.05537056
4/30/2020,0.021095906,-0.001331203,-0.021458993,0.010032034,-0.009310963,-0.023272675,-0.020859789
5/1/2020,-0.016099381,-0.011663284,-0.026211552,-0.025891411,-0.026473571,-0.103033713,-0.071659047
5/4/2020,0.014149077,-0.000134944,-0.01190369,0.024459996,0.002758283,0.085367588,0.040333959
5/5/2020,0.015008816,0.008295571,-0.001519359,0.010735891,0.00923945,0.009222448,-0.001114443
5/6/2020,0.010317287,-0.009498217,-0.018804519,0.009847223,-0.006778835,0.018705826,-0.018737396
5/7/2020,0.010345018,-0.00330926,0.010413519,0.005807155,0.012066848,-0.003245695,0.005683007
5/8/2020,0.02380146,0.007520964,0.016335738,0.005882351,0.01654606,0.050484563,0.043851759
5/11/2020,0.015735108,0.002757357,-0.029449578,0.011154151,0.000205323,-0.009921649,-0.009528124
5/12/2020,-0.011427929,-0.013211945,-0.032677677,-0.022651526,-0.01993159,-0.00231727,-0.016714695
5/13/2020,-0.012074303,-6.79E-05,-0.034470937,-0.015122355,-0.017686232,-0.022794373,-0.049637393
5/14/2020,0.006143363,0.003466452,0.041532913,0.004339139,0.011967652,0.015639193,0.0088244
5/15/2020,-0.005912181,0.018965354,-0.018510068,0.014568239,0.004597204,-0.005178426,-0.007091992
5/18/2020,0.023561563,0.00053146,0.052968056,0.009554362,0.030459413,0.018093786,0.079523386
5/19/2020,-0.005778616,-0.009965753,-0.019678785,-0.006922137,-0.01027116,-0.006907343,-0.0308779
5/20/2020,0.019448191,-0.008992107,0.029998728,0.013870728,0.016988076,0.009343957,0.032544723
5/21/2020,-0.007455735,-0.006567869,-0.012701322,-0.012011191,-0.006904004,0.014762845,-0.017853536
5/22/2020,0.006438691,-0.009128368,-0.007762964,0.000436018,0.001899099,-0.012953078,0.000897441
5/26/2020,-0.006773684,0.001316111,0.070973658,-0.01057158,0.012320464,0.002436044,0.029372333
5/27/2020,0.004356913,0.002282491,0.057921154,0.001321719,0.014878948,0.001660845,0.007188244
5/28/2020,0.000440321,0.014355594,-0.014895971,-0.002255055,-0.001844759,-0.017580382,-0.025951233
5/29/2020,-0.000974143,0.012111449,-0.025535838,0.010198514,0.004456017,0.036224403,0.009546614
6/1/2020,0.012297903,-0.010487335,0.013256543,-0.002292087,0.004041634,0.075568831,0.017814059
6/2/2020,0.004629381,0.007201877,0.003346653,0.011376742,0.008279923,-0.018416629,0.022255872
6/3/2020,0.005505152,0.002698051,0.053977725,0.0024336,0.013308381,0.001588044,0.040794452
6/4/2020,-0.008612273,-0.012916462,0.020811363,-0.01316337,-0.002626975,-0.021042854,-0.002843055
6/5/2020,0.028481223,0.003885196,0.045002029,0.023398222,0.025629768,0.024618806,0.081059278
6/8/2020,0.005912451,-0.003598309,0.019958421,0.006196136,0.01208743,0.072556068,0.031273459
6/9/2020,0.031577982,-0.005518861,-0.025650029,0.007645209,-0.007456913,-0.009737634,-0.022287125
6/10/2020,0.0257274,0.012605629,-0.040528193,0.037091808,-0.005579634,0.089702057,-0.053625065
6/11/2020,-0.048010383,-0.046887385,-0.083443273,-0.053698546,-0.057649033,-0.050934105,-0.088252575
6/12/2020,0.008633523,0.009086204,0.027363124,0.007891894,0.011975818,-0.038608633,0.021437895
6/15/2020,0.012367208,-0.006331122,0.01381792,0.006391745,0.009335785,0.059468763,-0.000636021
6/16/2020,0.02650228,0.022725736,0.008000185,0.024505147,0.019247911,-0.008850491,0.022486273
6/17/2020,-0.001391803,-0.00304572,-0.025279225,0.003461252,-0.004154352,0.009835722,-0.032572551
6/18/2020,0.000398391,-0.004235594,-0.005428201,0.010708534,0.000385108,0.012270734,0.006219013
6/19/2020,-0.005714605,0.002928564,-0.011421118,-0.005959976,-0.00571472,-0.003047852,-0.020033858
6/22/2020,0.026163507,-0.003058998,-0.01083715,0.027773747,0.006415078,-0.006574093,0.009569228
6/23/2020,0.021344779,-0.003696241,0.012196082,0.006681146,0.004603544,0.00750256,0.006031644
6/24/2020,-0.017651864,-0.021279905,-0.033391017,-0.020157764,-0.025508621,-0.040857298,-0.047109227
6/25/2020,0.013275604,-0.001072545,0.034861199,0.012636568,0.010720353,0.026154012,0.015056147
6/26/2020,-0.030726013,-0.013317286,-0.054817801,-0.020015885,-0.023751258,-0.026613159,-0.034314372
6/29/2020,0.023046763,0.008925317,0.004427993,0.010747197,0.014697391,0.051691108,0.01604733
6/30/2020,0.008347509,0.011435713,0.011397941,0.025549029,0.012809739,0.069807315,0.009025345
7/1/2020,-0.001891227,-0.001777621,-0.008505192,0.005847621,0.00700477,0.036876807,-0.022584961
7/2/2020,0,0.004202635,0.003248012,0.007620688,0.005506802,0.079517341,0.008464931
7/6/2020,0.026750161,0.014258467,0.025253661,0.021526352,0.015437041,0.134793937,0.007032666
7/7/2020,-0.003103085,-0.000909155,-0.028210569,-0.01162781,-0.010313395,0.013327689,-0.025906542
7/8/2020,0.023290101,0.002940045,0.0106152,0.021992852,0.007648286,-0.0172535,-0.002312835
7/9/2020,0.004300443,-0.005444014,-0.021650423,0.00700056,-0.005692675,0.020792456,-0.041260891
7/10/2020,0.0017493,-0.000842325,0.054666641,-0.003032661,0.010210403,0.107847765,0.031189387
7/13/2020,-0.004613334,0.019947962,0.014334942,-0.030888665,-0.008658921,-0.030809585,0.000234321
7/14/2020,0.016548572,0.018662692,0.005734804,0.006181238,0.012958946,0.013185863,0.033052222
7/15/2020,0.006877301,0.002298399,0.015477048,-0.001487621,0.009187342,0.019257581,0.012707002
