Date,AAPL,JNJ,JPM,MSFT,SPY,TSLA,XOM
3/24/2020,59.5976944,100.1926117,74.3692627,140.604599,222.939209,33.66666794,26.84599876
3/25/2020,59.26939011,100.3775558,77.14454651,139.258667,226.2766571,35.95000076,28.24739647
3/26/2020,62.38832474,106.4052658,82.51850128,147.9694366,239.4888916,35.21066666,29.4063797
3/27/2020,59.80530548,103.5385284,76.63995361,141.8936768,232.3555908,34.29066849,27.98983765
3/30/2020,61.51202011,111.819252,78.63310242,151.874588,239.9014587,33.47533417,28.40645409
3/31/2020,61.38648987,110.2387619,75.71484375,149.4859772,236.3256226,34.93333435,28.76249695
4/1/2020,58.15652084,108.2883759,70.94642639,144.1780396,225.6898041,32.10400009,28.42918968
4/2/2020,59.12695313,111.9369354,73.59555054,147.1637421,230.8977509,30.29800034,30.60323334
4/3/2020,58.27721024,112.7944641,71.42021942,145.8083496,227.5602722,32.00066757,29.70179939
4/6/2020,63.36117172,117.4938736,76.01728821,156.6517944,242.8446655,34.41600037,30.65625763
4/7/2020,62.62731171,115.5771103,77.01996613,154.9645844,243.0922241,36.36333466,31.23954773
4/8/2020,64.23022461,120.4362564,80.13001251,156.5190277,251.2525024,36.58933258,33.21662903
4/9/2020,64.69371796,118.72966,87.31876373,156.5285339,255.0758209,38.20000076,32.6712265
4/13/2020,65.96351624,117.5022888,83.43548584,156.8792419,252.7469482,43.39666748,32.39094543
4/14/2020,69.29488373,122.7649536,81.14968872,164.6421661,260.2012024,47.32600021,32.14097595
4/15/2020,68.66241455,124.1352463,77.14743042,162.9171295,254.6724091,48.65533447,30.66383553
4/16/2020,69.20796204,125.8250275,74.20735931,167.8079987,255.9010925,49.68066788,29.65635109
4/17/2020,68.26890564,127.8006516,80.87776947,169.2866669,262.8143616,50.25933456,32.73939896
4/20/2020,66.85186768,127.5063934,77.92919922,165.9312744,258.1840515,49.75733185,31.19408607
4/21/2020,64.7854538,125.8334732,75.66889191,159.0688171,250.3446503,45.78133392,31.02744293
4/22/2020,66.65148926,128.6161346,75.91530609,164.4716187,255.9010925,48.8073349,31.91372299
4/23/2020,66.39321136,130.7346039,75.95780182,162.4810181,255.8826904,47.04199982,32.91362
4/24/2020,68.30995178,130.1881866,77.07945251,165.4478607,259.4493408,48.3433342,33.12571716
4/27/2020,68.35822296,129.7089691,80.40193939,164.9739227,263.1902466,53.25,33.2848053
4/28/2020,67.25019836,127.2710266,80.97123718,160.9550629,261.9799805,51.27466583,34.06503296
4/29/2020,69.45904541,126.3042145,83.15505981,168.1776886,268.8382874,53.36733246,35.95123291
4/30/2020,70.92434692,126.1360779,81.37063599,169.8648529,266.335144,52.12533188,35.20129776
5/1/2020,69.78250885,124.664917,79.23778534,165.4668121,259.2843018,46.75466537,32.6788063
5/4/2020,70.76986694,124.6480942,78.29456329,169.5141296,259.9994812,50.74599838,33.99687195
5/5/2020,71.83203888,125.6821213,78.17560577,171.3340149,262.4017334,51.2140007,33.95898438
5/6/2020,72.57315063,124.4883652,76.70555115,173.0211792,260.6229553,52.17200089,33.32268143
5/7/2020,73.3239212,124.0764008,77.50432587,174.0259399,263.7678528,52.00266647,33.51205444
5/8/2020,75.06913757,125.0095749,78.77041626,175.0496216,268.1321716,54.62799835,34.98161697
5/11/2020,76.25035858,125.3542709,76.45066071,177.0021515,268.1872253,54.08599854,34.6483078
5/12/2020,75.37897491,123.6980972,73.95243073,172.9927826,262.8418274,53.96066666,34.06917191
5/13/2020,74.46882629,123.6896973,71.40322113,170.3767242,258.1931458,52.73066711,32.37806702
5/14/2020,74.92631531,124.1184616,74.36880493,171.1160126,261.2831116,53.55533218,32.66378403
5/15/2020,74.4833374,126.4724121,72.99223328,173.6088715,262.4842834,53.27799988,32.43213272
5/18/2020,76.23828125,126.5396271,76.85848999,175.2675934,270.4794006,54.24200058,35.01124573
5/19/2020,75.79772949,125.2785645,75.3460083,174.0543671,267.7012634,53.86733246,33.93017197
5/20/2020,77.27185822,124.1520462,77.60629272,176.4686279,272.2489929,54.3706665,35.03442001
5/21/2020,76.69573975,123.3366318,76.62059021,174.3490295,270.3693848,55.17333221,34.40893173
5/22/2020,77.18955994,122.2107697,76.02578735,174.4250488,270.882843,54.45866776,34.43981171
5/26/2020,76.66670227,122.3716125,81.4216156,172.5811005,274.2202454,54.59133148,35.45138931
5/27/2020,77.00073242,122.6509247,86.13764954,172.8092041,278.300354,54.68199921,35.70622253
5/28/2020,77.03463745,124.4116516,84.85454559,172.4195099,277.7869568,53.72066879,34.77960205
5/29/2020,76.95959473,125.918457,82.68771362,174.1779327,279.0247803,55.66666794,35.11162949
6/1/2020,77.90603638,124.597908,83.78386688,173.7787018,280.1524963,59.87333298,35.73711014
6/2/2020,78.26669312,125.4952469,84.06426239,175.7557373,282.4721375,58.77066803,36.5324707
6/3/2020,78.69756317,125.8338394,88.60186005,176.1834564,286.2313843,58.86399841,38.02279282
6/4/2020,78.01979828,124.2085114,90.44578552,173.8642883,285.4794617,57.62533188,37.91469193
6/5/2020,80.24189758,124.6910858,94.51602936,177.9324036,292.7962341,59.04399872,40.98802948
6/8/2020,80.71632385,124.2424088,96.40242004,179.0348969,296.3353882,63.32799911,42.26986694
6/9/2020,83.2651825,123.5567322,93.92969513,180.403656,294.1256409,62.71133423,41.32779312
6/10/2020,85.40737915,125.1142426,90.12289429,187.0951538,292.4845276,68.33666992,39.11158752
6/11/2020,81.30693817,119.247963,82.60274506,177.0484161,275.6230774,64.85600281,35.65988922
6/12/2020,82.0089035,120.3314743,84.86301422,178.4456635,278.9238892,62.35200119,36.42436218
6/15/2020,83.02312469,119.5696411,86.03564453,179.5862427,281.5278625,66.05999756,36.40119553
6/16/2020,85.22342682,122.2869492,86.72394562,183.98703,286.9466858,65.47533417,37.21972275
6/17/2020,85.10481262,121.9144974,84.53163147,184.6238556,285.7546082,66.11933136,36.00738144
6/18/2020,85.13871765,121.3981171,84.07277679,186.6009064,285.8646545,66.93066406,36.2313118
6/19/2020,84.65218353,121.7536392,83.11257172,185.4887695,284.2310181,66.72666931,35.50545883
6/22/2020,86.86698151,121.3811951,82.21186829,190.6404877,286.0543823,66.28800201,35.84521866
6/23/2020,88.721138,120.9325409,83.21453094,191.9141846,287.3712463,66.78533173,36.06142426
6/24/2020,87.15504456,118.359108,80.43591309,188.0456238,280.040802,64.05666351,34.36259842
6/25/2020,88.31208038,118.2321625,83.24000549,190.421875,283.0429382,65.73200226,34.87996674
6/26/2020,85.59860229,116.6576309,78.67697144,186.6104126,276.3203125,63.98266602,33.68308258
6/29/2020,87.57137299,117.6988373,79.02535248,188.6159515,280.3815002,67.29000092,34.22360611
6/30/2020,88.30237579,119.0448074,79.9260788,193.434906,283.973114,71.98733521,34.53248596
7/1/2020,88.13537598,118.8331909,79.24629211,194.56604,285.9622803,74.64199829,33.75257111
7/2/2020,88.13537598,119.3326035,79.503685,196.0487671,287.5370178,80.57733154,34.0382843
7/6/2020,90.49301147,121.0341034,81.51144409,200.2689819,291.9757385,91.4386673,34.27766418
7/7/2020,90.21220398,120.9240646,79.21195984,197.9402924,288.9644775,92.65733337,33.38964844
7/8/2020,92.31325531,121.2795868,80.05281067,202.2935638,291.1745605,91.05867004,33.31242371
7/9/2020,92.71024323,120.619339,78.31963348,203.7097321,289.5169983,92.95200348,31.93792343
7/10/2020,92.87242126,120.5177383,82.60110474,203.0919495,292.4730835,102.9766693,32.9340477
7/13/2020,92.44396973,122.9218216,83.78518677,196.8187103,289.9405823,99.80400085,32.94176483
7/14/2020,93.9737854,125.2158737,84.26567841,198.0352936,293.6979065,101.1200027,34.03056335
7/15/2020,94.62007141,125.5036697,85.56986237,197.7406921,296.3962097,103.0673294,34.46298981
7/16/2020,93.4557724,126.3417206,85.810112,193.8246765,295.4199829,100.0426636,34.19272232
7/17/2020,93.26696014,126.4263763,84.22277832,192.8361206,296.2765198,100.0559998,33.60585022
7/20/2020,95.23247528,126.6380157,83.48490143,201.1244507,298.6708374,109.5333328,32.81821442
7/21/2020,93.91810608,126.756546,85.29528046,198.4155426,299.3063049,104.5573349,34.47843933
7/22/2020,94.18193817,126.9850845,84.67752075,201.2669983,301.0100098,106.1553345,33.67534637
7/23/2020,89.89510345,126.646492,84.92634583,192.5129547,297.418457,100.8713303,33.74485779
7/24/2020,89.67241669,125.3851776,84.32574463,191.3343658,295.5029602,94.46666718,33.53636169
7/27/2020,91.79767609,124.5894852,83.14165497,193.7581024,297.6579285,102.6399994,34.03056335
7/28/2020,90.28968811,124.2931671,83.50203705,192.0186768,295.77005,98.43267059,33.62901688
7/29/2020,92.02036285,124.0476913,85.52696228,193.9577026,299.4075928,99.9406662,33.99967575
7/30/2020,93.13383484,124.3016434,83.24465179,193.805603,298.3392944,99.16600037,32.33173752
7/31/2020,102.8839188,123.3874207,82.91858673,194.860672,300.6968689,95.38400269,32.49389267
8/3/2020,105.476326,124.7333527,82.4552536,205.8198395,302.787384,99,32.62517166
8/4/2020,106.1807098,124.6233444,81.9833374,202.7307892,303.9570007,99.1333313,33.5672493
8/5/2020,106.5655823,125.6222076,83.40766144,202.3980865,305.8447876,99.00133514,33.86067581
8/6/2020,110.2835693,124.9026566,83.4333725,205.639267,307.8891602,99.305336,33.69851685
8/7/2020,107.7761917,125.7915115,85.26954651,201.9608154,308.1102905,96.84733582,33.5440712
8/10/2020,109.3427048,125.3089676,86.35063934,197.9402924,309.0312195,94.57133484,34.37032318
8/11/2020,106.0908585,124.4116516,89.07913208,193.3113708,306.4801636,91.62599945,34.72554016
8/12/2020,109.6167145,126.6888123,88.32408142,198.8337097,310.7532959,103.6506653,34.71767044
8/13/2020,111.5566711,125.2836075,87.8350296,198.3680267,310.1914978,108.0666656,33.86723709
8/14/2020,111.4572372,125.486763,87.86932373,198.5580597,310.2007141,110.0473328,34.01685333
8/17/2020,111.1662674,126.1216125,85.55269623,199.8697968,311.1860046,122.3759995,33.57588577
8/18/2020,112.0925827,127.0528107,84.36006165,201.0198975,311.8583679,125.8059998,33.41053391
8/19/2020,112.233223,127.3067627,84.55740356,199.800293,310.5598755,125.2353363,33.04044342
8/20/2020,114.7236328,128.1786346,83.54493713,204.4499359,311.5267944,133.4553375,32.53649139
