player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Matas Buzelis,CHI,20,80,18.9,8.6,3.5,1,0.4,0.9,0.9,0.454,0.361,0.815,-0.4,16,5195520,TRUE,5.19552,3.08
Josh Richardson,MIA,31,8,18.7,4,1.5,1.5,1,0.1,1,0.289,0.273,1,-3.9,9.25,3051153,FALSE,3.051153,3.03
Donovan Clingan,POR,21,67,19.8,6.5,7.9,1.1,0.5,1.6,1.1,0.539,0.286,0.596,0,20.73,6836400,TRUE,6.8364,3.03
Taylor Hendricks,UTA,21,3,24.8,4.7,5,0.7,1.7,1.3,0.7,0.222,0.25,0.75,-7.3,17.05,5848680,FALSE,5.84868,2.92
Johnny Furphy,IND,20,50,7.6,2.1,1.4,0.4,0.4,0.2,0.2,0.38,0.3,0.818,0.4,5.38,1850842,FALSE,1.850842,2.91
Rayan Rupert,POR,21,52,8.8,3,1.3,0.5,0.3,0.1,0.6,0.408,0.271,0.767,-1.7,5.51,1891857,FALSE,1.891857,2.91
Davion Mitchell,MIA,26,74,27.4,7.9,2.3,4.9,1,0.2,1.7,0.468,0.398,0.69,0,18.71,6451077,TRUE,6.451077,2.9
Chet Holmgren,OKC,23,32,27.4,15,8,2,0.7,2.2,1.8,0.49,0.379,0.754,9.2,31.6,10880640,FALSE,10.88064,2.9
Brandon Miller,CHA,22,27,34.2,21,4.9,3.6,1.1,0.7,2.8,0.403,0.355,0.861,-4.6,33.08,11424600,FALSE,11.4246,2.9
Haywood Highsmith,MIA,28,74,24.6,6.5,3.4,1.5,0.9,0.5,0.7,0.458,0.382,0.721,0.8,14.93,5200000,TRUE,5.2,2.87
Paul Reed,DET,26,45,9.7,4.1,2.7,1,0.9,0.6,0.6,0.507,0.286,0.762,1,11.24,3913234,FALSE,3.913234,2.87
Moses Moody,GSW,23,74,22.3,9.8,2.6,1.3,0.8,0.4,0.7,0.433,0.374,0.797,1.8,16.57,5803269,TRUE,5.803269,2.86
Keegan Murray,SAC,24,76,34.3,12.4,6.7,1.4,0.8,0.9,0.8,0.444,0.343,0.833,0.6,25.14,8809560,TRUE,8.80956,2.85
Precious Achiuwa,NYK,25,57,20.5,6.6,5.6,1,0.8,0.7,0.8,0.502,0.278,0.594,-0.8,17.02,6000000,TRUE,6,2.84
Naji Marshall,DAL,27,69,27.8,13.2,4.8,3,1,0.2,1.6,0.508,0.275,0.813,-2,24.26,8571429,TRUE,8.571429,2.83
Hunter Tyson,DEN,25,51,7.8,2.6,1.5,0.4,0.2,0.1,0.3,0.375,0.311,0.75,-1.9,5.3,1891857,FALSE,1.891857,2.8
Stephon Castle,SAS,20,81,26.7,14.7,3.7,4.1,0.9,0.3,2.2,0.428,0.285,0.724,-3,25.49,9105120,TRUE,9.10512,2.8
Vlatko Cancar,DEN,28,13,10.4,1.8,2.5,0.7,0.2,0.2,0.8,0.385,0.267,0,-1.4,5.85,2087519,FALSE,2.087519,2.8
Tyler Kolek,NYK,24,41,7.2,2,0.7,1.7,0.3,0.1,0.4,0.329,0.298,0.765,0,5.79,2087519,FALSE,2.087519,2.77
Ausar Thompson,DET,22,59,22.5,10.1,5.1,2.3,1.7,0.7,1.4,0.535,0.224,0.641,1.1,23.07,8376000,TRUE,8.376,2.75
